scenario,year,variable,commodity,sector,subsector,value
BAU,2017,domestic demand,,RealEst,,25876.0
BAU,2017,commodity price,,RealEst,,1.0
BAU,2017,investment,,RealEst,,2125.0
BAU,2017,government consumption,RealEst,,,129.0
BAU,2017,household consumption,RealEst,RuralHH,,3979.0
BAU,2017,household consumption,RealEst,UrbanHH,,8.0
BAU,2017,output,,BusServe,,25903.0
BAU,2017,production cost,,BusServe,,1.0
BAU,2017,capital demand,,BusServe,,350.0
BAU,2017,labor demand,,BusServe,,2874.0
BAU,2017,CO2,,BusServe,,205.10439
BAU,2017,energy demand,Coal,BusServe,,624.0
BAU,2017,energy demand,RefPet,BusServe,,774.0
BAU,2017,energy demand,ElecDist,BusServe,,521.0
BAU,2017,energy demand,GasDist,BusServe,,965.0
BAU,2017,domestic demand,,BusServe,,25899.0
BAU,2017,commodity price,,BusServe,,1.0
BAU,2017,investment,,BusServe,,993.0
BAU,2017,government consumption,BusServe,,,812.0
BAU,2017,household consumption,BusServe,RuralHH,,740.0
BAU,2017,household consumption,BusServe,UrbanHH,,1271.0
BAU,2017,output,,ResTech,,24717.0
BAU,2017,production cost,,ResTech,,1.0
BAU,2017,capital demand,,ResTech,,43.0
BAU,2017,labor demand,,ResTech,,172.0
BAU,2017,CO2,,ResTech,,50.64476
BAU,2017,energy demand,Coal,ResTech,,44.0
BAU,2017,energy demand,RefPet,ResTech,,618.0
BAU,2017,energy demand,ElecDist,ResTech,,1474.0
BAU,2017,energy demand,GasDist,ResTech,,810.0
BAU,2017,domestic demand,,ResTech,,24705.0
BAU,2017,commodity price,,ResTech,,1.0
BAU,2017,investment,,ResTech,,571.0
BAU,2017,government consumption,ResTech,,,237.0
BAU,2017,household consumption,ResTech,RuralHH,,4.0
BAU,2017,household consumption,ResTech,UrbanHH,,7.0
BAU,2017,output,,EnvServ,,24993.0
BAU,2017,production cost,,EnvServ,,1.0
BAU,2017,capital demand,,EnvServ,,9.0
BAU,2017,labor demand,,EnvServ,,70.0
BAU,2017,CO2,,EnvServ,,198.17357
BAU,2017,energy demand,Coal,EnvServ,,769.0
BAU,2017,energy demand,RefPet,EnvServ,,1.0
BAU,2017,energy demand,ElecDist,EnvServ,,864.0
BAU,2017,energy demand,GasDist,EnvServ,,189.0
BAU,2017,domestic demand,,EnvServ,,24973.0
BAU,2017,commodity price,,EnvServ,,1.0
