Scenario,rate,delta,variable,sector,subsector,labor,qualifier,value,solvestat
"P_ECF_coal",742.080000000,0.050000000,"TJ","CMMfg","","LabUn","TJ",6.963142211,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","CMMfg","","LabUn","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","CMMfg","","LabUn","MJ",0.008997248,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","CMMfg","","LabUn","IDJ",6.954144963,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","IST","","LabSk","TJ",0.066802881,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","IST","","LabSk","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","IST","","LabSk","MJ",0.000176514,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","IST","","LabSk","IDJ",0.066626367,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","IST","","LabUn","TJ",-0.193838342,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","IST","","LabUn","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","IST","","LabUn","MJ",0.000740977,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","IST","","LabUn","IDJ",-0.194579320,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","NFM","","LabSk","TJ",-0.396265541,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","NFM","","LabSk","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","NFM","","LabSk","MJ",0.000079227,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","NFM","","LabSk","IDJ",-0.396344768,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","NFM","","LabUn","TJ",-1.960895471,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","NFM","","LabUn","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","NFM","","LabUn","MJ",0.000340533,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","NFM","","LabUn","IDJ",-1.961236004,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","MetalPr","","LabSk","TJ",1.467128973,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","MetalPr","","LabSk","CIMJ",0.103757486,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","MetalPr","","LabSk","MJ",0.001042083,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","MetalPr","","LabSk","IDJ",1.362329404,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","MetalPr","","LabUn","TJ",11.541677918,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","MetalPr","","LabUn","CIMJ",0.993411811,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","MetalPr","","LabUn","MJ",0.009977283,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","MetalPr","","LabUn","IDJ",10.538288824,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","GenEqp","","LabSk","TJ",5.306992416,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","GenEqp","","LabSk","CIMJ",3.708524520,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","GenEqp","","LabSk","MJ",0.222979306,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","GenEqp","","LabSk","IDJ",1.375488590,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","GenEqp","","LabUn","TJ",21.469479250,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","GenEqp","","LabUn","CIMJ",18.214683400,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","GenEqp","","LabUn","MJ",1.095178811,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","GenEqp","","LabUn","IDJ",2.159617040,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","TransEqp","","LabSk","TJ",0.470698820,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","TransEqp","","LabSk","CIMJ",0.891910461,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","TransEqp","","LabSk","MJ",0.000226581,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","TransEqp","","LabSk","IDJ",-0.421438222,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","TransEqp","","LabUn","TJ",0.301373132,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","TransEqp","","LabUn","CIMJ",3.725648982,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","TransEqp","","LabUn","MJ",0.000946463,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","TransEqp","","LabUn","IDJ",-3.425222313,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","ElecEqp","","LabSk","TJ",1.657334925,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","ElecEqp","","LabSk","CIMJ",0.853282464,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","ElecEqp","","LabSk","MJ",0.002380266,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","ElecEqp","","LabSk","IDJ",0.801672195,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","ElecEqp","","LabUn","TJ",4.969485781,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","ElecEqp","","LabUn","CIMJ",3.789022151,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","ElecEqp","","LabUn","MJ",0.010569632,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","ElecEqp","","LabUn","IDJ",1.169893997,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","OthMfg","","LabSk","TJ",2.769454231,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","OthMfg","","LabSk","CIMJ",0.121536557,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","OthMfg","","LabSk","MJ",0.110429902,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","OthMfg","","LabSk","IDJ",2.537487772,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","OthMfg","","LabUn","TJ",10.542342719,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","OthMfg","","LabUn","CIMJ",1.324728473,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","OthMfg","","LabUn","MJ",1.203667762,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","OthMfg","","LabUn","IDJ",8.013946484,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Constr","","LabSk","TJ",4.588472534,1.000000000
